small tile,,,Original,,,error,,,
key,real,imag,key,real,imag,real Err,img Err,,
1024_1408,-0.009467,-0.051567,1024_1408,-0.00943,-0.051463,-3.7E-05,-0.000104,,
1024_1536,-0.009477,-0.051512,1024_1536,-0.009439,-0.051414,-3.8E-05,-9.8E-05,,
1024_1664,-0.009488,-0.051197,1024_1664,-0.00945,-0.051102,-3.8E-05,-9.5E-05,,
1024_1792,-0.009517,-0.051061,1024_1792,-0.009479,-0.050968,-3.8E-05,-9.3E-05,,
1024_1920,-0.009531,-0.051116,1024_1920,-0.009493,-0.05102,-3.8E-05,-9.6E-05,,
1024_2048,-0.009534,-0.051128,1024_2048,-0.009496,-0.051033,-3.8E-05,-9.5E-05,,
1152_128,-0.000004,-0.000028,1152_128,-0.000004,-0.000028,0,0,,
1152_256,-0.000031,-0.000015,1152_256,-0.000031,-0.000013,0,-0.000002,,
1152_384,-0.000077,0.000347,1152_384,-0.000077,0.000347,0,0,,
1152_512,-0.000098,0.001011,1152_512,-0.000097,0.001004,-1E-06,7E-06,,
1152_640,-0.00011,0.000835,1152_640,-0.000109,0.000823,-1E-06,1.2E-05,,
1152_768,-0.000288,-0.001087,1152_768,-0.000286,-0.001102,-2E-06,1.5E-05,,
1152_896,-0.001583,-0.007017,1152_896,-0.001575,-0.007002,-8E-06,-1.5E-05,,
1152_1024,-0.008429,-0.05082,1152_1024,-0.008395,-0.050694,-3.4E-05,-0.000126,,
1152_1152,-0.015049,-0.090852,1152_1152,-0.014989,-0.090632,-6E-05,-0.00022,,
1152_1280,-0.016328,-0.094948,1152_1280,-0.016262,-0.094704,-6.6E-05,-0.000244,,
1152_1408,-0.01653,-0.096147,1152_1408,-0.016463,-0.09591,-6.7E-05,-0.000237,,
1152_1536,-0.016548,-0.096023,1152_1536,-0.016481,-0.095795,-6.7E-05,-0.000228,,
1152_1664,-0.016566,-0.095491,1152_1664,-0.016498,-0.09527,-6.8E-05,-0.000221,,
1152_1792,-0.016609,-0.095254,1152_1792,-0.016541,-0.095033,-6.8E-05,-0.000221,,
1152_1920,-0.016635,-0.09528,1152_1920,-0.016567,-0.095058,-6.8E-05,-0.000222,,
1152_2048,-0.016639,-0.095303,1152_2048,-0.016571,-0.095081,-6.8E-05,-0.000222,,
1280_128,-0.000005,-0.000032,1280_128,-0.000005,-0.000032,0,0,,
1280_256,-0.000037,-0.00004,1280_256,-0.000036,-0.000038,-1E-06,-0.000002,,
1280_384,-0.000097,0.000416,1280_384,-0.000096,0.000417,-1E-06,-1E-06,,
1280_512,-0.000127,0.001334,1280_512,-0.000126,0.001326,-1E-06,8E-06,,
1280_640,-0.000141,0.001219,1280_640,-0.000141,0.001199,0,2E-05,,
1280_768,-0.000327,-0.000441,1280_768,-0.000326,-0.000471,-1E-06,0.00003,,
1280_896,-0.00184,-0.007317,1280_896,-0.001833,-0.007333,-7E-06,1.6E-05,,
1280_1024,-0.009289,-0.053542,1280_1024,-0.009252,-0.053418,-3.7E-05,-0.000124,,
1280_1152,-0.01652,-0.095785,1280_1152,-0.016452,-0.095541,-6.8E-05,-0.000244,,
1280_1280,-0.018004,-0.100507,1280_1280,-0.017931,-0.100253,-7.3E-05,-0.000254,,
1280_1408,-0.018216,-0.101442,1280_1408,-0.018142,-0.101201,-7.4E-05,-0.000241,,
1280_1536,-0.018237,-0.10122,1280_1536,-0.018163,-0.100992,-7.4E-05,-0.000228,,
1280_1664,-0.018263,-0.100509,1280_1664,-0.018188,-0.100289,-7.5E-05,-0.00022,,
1280_1792,-0.018319,-0.100225,1280_1792,-0.018245,-0.100006,-7.4E-05,-0.000219,,
1280_1920,-0.01835,-0.100275,1280_1920,-0.018275,-0.100055,-7.5E-05,-0.00022,,
1280_2048,-0.018355,-0.100305,1280_2048,-0.01828,-0.100083,-7.5E-05,-0.000222,,
1408_128,-0.000005,-0.000022,1408_128,-0.000005,-0.000022,0,0,,
1408_256,-0.000035,-0.000077,1408_256,-0.000035,-0.000074,0,-3E-06,,
1408_384,-0.0001,0.000375,1408_384,-0.000099,0.000376,-1E-06,-1E-06,,
1408_512,-0.00013,0.001286,1408_512,-0.00013,0.001278,0,8E-06,,
1408_640,-0.000142,0.001216,1408_640,-0.000141,0.001196,-1E-06,2E-05,,
1408_768,-0.000285,0.000236,1408_768,-0.000284,0.000204,-1E-06,0.000032,,
1408_896,-0.001818,-0.006405,1408_896,-0.001812,-0.00643,-6E-06,2.5E-05,,
1408_1024,-0.009529,-0.053891,1408_1024,-0.009491,-0.053774,-3.8E-05,-0.000117,,
1408_1152,-0.017018,-0.097258,1408_1152,-0.016948,-0.097022,-7E-05,-0.000236,,
1408_1280,-0.018519,-0.101726,1408_1280,-0.018444,-0.101485,-7.5E-05,-0.000241,,
1408_1408,-0.018683,-0.102171,1408_1408,-0.018608,-0.101942,-7.5E-05,-0.000229,,
1408_1536,-0.018702,-0.101938,1408_1536,-0.018626,-0.101723,-7.6E-05,-0.000215,,
1408_1664,-0.018727,-0.101258,1408_1664,-0.018652,-0.101051,-7.5E-05,-0.000207,,
1408_1792,-0.018788,-0.100993,1408_1792,-0.018711,-0.100787,-7.7E-05,-0.000206,,
1408_1920,-0.018816,-0.101093,1408_1920,-0.01874,-0.100884,-7.6E-05,-0.000209,,
1408_2048,-0.018822,-0.10111,1408_2048,-0.018746,-0.100901,-7.6E-05,-0.000209,,
1536_128,-0.000006,-0.000021,1536_128,-0.000006,-0.000021,0,0,,
1536_256,-0.000036,-0.000087,1536_256,-0.000036,-0.000084,0,-3E-06,,
1536_384,-0.000098,0.000341,1536_384,-0.000097,0.000342,-1E-06,-1E-06,,
1536_512,-0.000126,0.0012,1536_512,-0.000126,0.001193,0,7E-06,,
1536_640,-0.000138,0.001062,1536_640,-0.000137,0.001044,-1E-06,0.000018,,
1536_768,-0.000269,0.000133,1536_768,-0.000268,0.000102,-1E-06,0.000031,,
1536_896,-0.001822,-0.006442,1536_896,-0.001816,-0.006472,-6E-06,3E-05,,
1536_1024,-0.009595,-0.053933,1536_1024,-0.009557,-0.053822,-3.8E-05,-0.000111,,
1536_1152,-0.017147,-0.097283,1536_1152,-0.017075,-0.097055,-7.2E-05,-0.000228,,
1536_1280,-0.018666,-0.101664,1536_1280,-0.01859,-0.101436,-7.6E-05,-0.000228,,
1536_1408,-0.018819,-0.102094,1536_1408,-0.018743,-0.101879,-7.6E-05,-0.000215,,
1536_1536,-0.018838,-0.10192,1536_1536,-0.018761,-0.101718,-7.7E-05,-0.000202,,
1536_1664,-0.018861,-0.101277,1536_1664,-0.018785,-0.101082,-7.6E-05,-0.000195,,
1536_1792,-0.018919,-0.10103,1536_1792,-0.018842,-0.100836,-7.7E-05,-0.000194,,
1536_1920,-0.018948,-0.101139,1536_1920,-0.018871,-0.100942,-7.7E-05,-0.000197,,
1536_2048,-0.018954,-0.101157,1536_2048,-0.018877,-0.100959,-7.7E-05,-0.000198,,
1664_128,-0.000006,-0.000031,1664_128,-0.000006,-0.000031,0,0,,
1664_256,-0.000036,-0.000109,1664_256,-0.000036,-0.000106,0,-3E-06,,
1664_384,-0.000097,0.000325,1664_384,-0.000097,0.000327,0,-2E-06,,
1664_512,-0.000126,0.001178,1664_512,-0.000125,0.001171,-1E-06,7E-06,,
1664_640,-0.000137,0.000988,1664_640,-0.000136,0.000971,-1E-06,0.000017,,
1664_768,-0.000261,0.000053,1664_768,-0.00026,0.000023,-1E-06,0.00003,,
1664_896,-0.001791,-0.006285,1664_896,-0.001786,-0.006316,-5E-06,3.1E-05,,
1664_1024,-0.009559,-0.053545,1664_1024,-0.00952,-0.053439,-3.9E-05,-0.000106,,
1664_1152,-0.017104,-0.096671,1664_1152,-0.017033,-0.096449,-7.1E-05,-0.000222,,
1664_1280,-0.018599,-0.100855,1664_1280,-0.018524,-0.100636,-7.5E-05,-0.000219,,
1664_1408,-0.018746,-0.101313,1664_1408,-0.01867,-0.101107,-7.6E-05,-0.000206,,
1664_1536,-0.018764,-0.101176,1664_1536,-0.018688,-0.100982,-7.6E-05,-0.000194,,
1664_1664,-0.018788,-0.100536,1664_1664,-0.018712,-0.10035,-7.6E-05,-0.000186,,
1664_1792,-0.018846,-0.10028,1664_1792,-0.018769,-0.100095,-7.7E-05,-0.000185,,
1664_1920,-0.018874,-0.100404,1664_1920,-0.018797,-0.100215,-7.7E-05,-0.000189,,
1664_2048,-0.018881,-0.10043,1664_2048,-0.018804,-0.100241,-7.7E-05,-0.000189,,
1792_128,-0.000005,-0.000038,1792_128,-0.000005,-0.000038,0,0,,
1792_256,-0.000035,-0.000107,1792_256,-0.000035,-0.000103,0,-0.000004,,
1792_384,-0.000095,0.00033,1792_384,-0.000095,0.000331,0,-1E-06,,
1792_512,-0.000123,0.001191,1792_512,-0.000123,0.001183,0,8E-06,,
1792_640,-0.000135,0.000976,1792_640,-0.000134,0.000958,-1E-06,0.000018,,
1792_768,-0.000254,0.000036,1792_768,-0.000253,0.000006,-1E-06,0.00003,,
1792_896,-0.001765,-0.006217,1792_896,-0.00176,-0.006248,-5E-06,3.1E-05,,
1792_1024,-0.009514,-0.053352,1792_1024,-0.009476,-0.053247,-3.8E-05,-0.000105,,
1792_1152,-0.017041,-0.096361,1792_1152,-0.016969,-0.096142,-7.2E-05,-0.000219,,
1792_1280,-0.018517,-0.100491,1792_1280,-0.018441,-0.100273,-7.6E-05,-0.000218,,
1792_1408,-0.018657,-0.100967,1792_1408,-0.018582,-0.100762,-7.5E-05,-0.000205,,
1792_1536,-0.018676,-0.100848,1792_1536,-0.018601,-0.100655,-7.5E-05,-0.000193,,
1792_1664,-0.0187,-0.100199,1792_1664,-0.018624,-0.100014,-7.6E-05,-0.000185,,
1792_1792,-0.018756,-0.099934,1792_1792,-0.01868,-0.09975,-7.6E-05,-0.000184,,
1792_1920,-0.018784,-0.10005,1792_1920,-0.018708,-0.099863,-7.6E-05,-0.000187,,
1792_2048,-0.01879,-0.100082,1792_2048,-0.018714,-0.099895,-7.6E-05,-0.000187,,
1920_128,-0.000005,-0.00004,1920_128,-0.000005,-0.00004,0,0,,
1920_256,-0.000035,-0.0001,1920_256,-0.000035,-0.000097,0,-3E-06,,
1920_384,-0.000095,0.000345,1920_384,-0.000095,0.000346,0,-1E-06,,
1920_512,-0.000123,0.001192,1920_512,-0.000123,0.001185,0,7E-06,,
1920_640,-0.000135,0.000964,1920_640,-0.000134,0.000947,-1E-06,0.000017,,
1920_768,-0.000253,-0.000024,1920_768,-0.000252,-0.000053,-1E-06,0.000029,,
1920_896,-0.001758,-0.006293,1920_896,-0.001753,-0.006324,-5E-06,3.1E-05,,
1920_1024,-0.009495,-0.05339,1920_1024,-0.009457,-0.053283,-3.8E-05,-0.000107,,
1920_1152,-0.017009,-0.096366,1920_1152,-0.016938,-0.096145,-7.1E-05,-0.000221,,
1920_1280,-0.01848,-0.100519,1920_1280,-0.018405,-0.100299,-7.5E-05,-0.00022,,
1920_1408,-0.018619,-0.101043,1920_1408,-0.018544,-0.100835,-7.5E-05,-0.000208,,
1920_1536,-0.018638,-0.100935,1920_1536,-0.018563,-0.100739,-7.5E-05,-0.000196,,
1920_1664,-0.018661,-0.100299,1920_1664,-0.018586,-0.100111,-7.5E-05,-0.000188,,
1920_1792,-0.018718,-0.100027,1920_1792,-0.018642,-0.09984,-7.6E-05,-0.000187,,
1920_1920,-0.018747,-0.100134,1920_1920,-0.018671,-0.099944,-7.6E-05,-0.00019,,
1920_2048,-0.018752,-0.100168,1920_2048,-0.018676,-0.099978,-7.6E-05,-0.00019,,
2048_128,-0.000006,-0.000031,2048_128,-0.000006,-0.000031,0,0,,
2048_256,-0.000036,-0.000092,2048_256,-0.000036,-0.00009,0,-2E-06,,
2048_384,-0.000096,0.000346,2048_384,-0.000095,0.000347,-1E-06,-1E-06,,
2048_512,-0.000123,0.001184,2048_512,-0.000123,0.001176,0,8E-06,,
2048_640,-0.000135,0.000957,2048_640,-0.000134,0.000939,-1E-06,0.000018,,
2048_768,-0.000252,-0.000017,2048_768,-0.000251,-0.000047,-1E-06,0.00003,,
2048_896,-0.001757,-0.006291,2048_896,-0.001752,-0.006322,-5E-06,3.1E-05,,
2048_1024,-0.009492,-0.053398,2048_1024,-0.009454,-0.053292,-3.8E-05,-0.000106,,
2048_1152,-0.017005,-0.096386,2048_1152,-0.016934,-0.096164,-7.1E-05,-0.000222,,
2048_1280,-0.018474,-0.100544,2048_1280,-0.018399,-0.100324,-7.5E-05,-0.00022,,
2048_1408,-0.018614,-0.101055,2048_1408,-0.018539,-0.100847,-7.5E-05,-0.000208,,
2048_1536,-0.018633,-0.100948,2048_1536,-0.018557,-0.100752,-7.6E-05,-0.000196,,
2048_1664,-0.018655,-0.100323,2048_1664,-0.01858,-0.100134,-7.5E-05,-0.000189,,
2048_1792,-0.018712,-0.100054,2048_1792,-0.018636,-0.099867,-7.6E-05,-0.000187,,
2048_1920,-0.01874,-0.100164,2048_1920,-0.018664,-0.099974,-7.6E-05,-0.00019,,
2048_2048,-0.018747,-0.100187,2048_2048,-0.018671,-0.099998,-7.6E-05,-0.000189,-1.89E-04,-5.29E-18
