key,real,imag
768_448,0.000003,-0.000113
768_512,0.000003,-0.000149
768_576,0.000003,-0.000135
768_640,0.000007,-0.000253
768_704,0.000036,-0.000010
768_768,0.000075,0.000442
768_832,0.000103,0.000825
768_896,0.000086,0.001071
768_960,-0.000028,0.000816
768_1024,-0.000199,0.000197
768_1088,-0.000378,-0.000401
768_1152,-0.000480,-0.000539
768_1216,-0.000502,-0.000298
768_1280,-0.000463,0.000048
768_1344,-0.000430,0.000354
768_1408,-0.000391,0.000480
768_1472,-0.000396,0.000336
768_1536,-0.000388,0.000370
768_1600,-0.000395,0.000291
768_1664,-0.000385,0.000286
768_1728,-0.000394,0.000231
768_1792,-0.000385,0.000270
768_1856,-0.000397,0.000244
768_1920,-0.000383,0.000210
768_1984,-0.000389,0.000168
768_2048,-0.000385,0.000215
832_64,-0.000003,0.000012
832_128,-0.000001,-0.000003
832_192,0.000002,-0.000069
832_256,-0.000001,-0.000070
832_320,-0.000002,-0.000078
832_384,-0.000007,-0.000059
832_448,-0.000006,-0.000083
832_512,-0.000009,-0.000024
832_576,-0.000012,0.000058
832_640,-0.000007,-0.000048
832_704,0.000023,0.000311
832_768,0.000065,0.000835
832_832,0.000136,0.001678
832_896,0.000092,0.001941
832_960,-0.000122,0.001206
832_1024,-0.000379,0.000484
832_1088,-0.000637,-0.000191
832_1152,-0.000849,-0.000768
832_1216,-0.000885,-0.000429
832_1280,-0.000810,0.000256
832_1344,-0.000767,0.000645
832_1408,-0.000734,0.000848
832_1472,-0.000730,0.000732
832_1536,-0.000732,0.000816
832_1600,-0.000734,0.000821
832_1664,-0.000734,0.000805
832_1728,-0.000738,0.000802
832_1792,-0.000739,0.000795
832_1856,-0.000742,0.000785
832_1920,-0.000739,0.000721
832_1984,-0.000737,0.000709
832_2048,-0.000740,0.000722
896_64,-0.000003,0.000006
896_128,-0.000002,-0.000003
896_192,-0.000002,-0.000068
896_256,-0.000004,-0.000078
896_320,-0.000008,-0.000087
896_384,-0.000019,0.000002
896_448,-0.000019,-0.000003
896_512,-0.000026,0.000182
896_576,-0.000031,0.000243
896_640,-0.000025,0.000129
896_704,-0.000008,0.000475
896_768,0.000033,0.001069
896_832,0.000079,0.001925
896_896,-0.000191,0.000621
896_960,-0.000629,-0.001420
896_1024,-0.001094,-0.002744
896_1088,-0.001598,-0.004110
896_1152,-0.002001,-0.005756
896_1216,-0.002301,-0.006785
896_1280,-0.002206,-0.005900
896_1344,-0.002205,-0.005570
896_1408,-0.002146,-0.005214
896_1472,-0.002181,-0.005462
